field,ID,RA,DEC,z_peak,z_a,z_ml,Prob_gt_6,bin_z,F090W_flux,F090W_err,F115W_flux,F115W_err,F150W_flux,F150W_err,F200W_flux,F200W_err,F277W_flux,F277W_err,F356W_flux,F356W_err,F444W_flux,F444W_err,A_arcsec,B_arcsec,R_KRON_U,FWHM_arcsec,GINI,clean_phot_bands,size_usable,F444W_SNR,F356W_SNR
GOODS-S,129069,53.184246,-27.776098,6.650000095367432,6.650000095367432,6.644794940948486,0.9232600331306458,6-8,3.1518,1.7698,4.0744,1.7023,7.4773,1.4861,5.3123,1.4894,7.4887,1.1162,8.9124,1.0686,8.6261,1.3895,0.0831,0.0739,1.4000,0.1852,0.5971,7,1,6.21,8.34
GOODS-S,129084,53.15092,-27.776108,8.140000343322754,8.140000343322754,8.144110679626465,0.9886915683746338,8-10,-1.2902,1.1739,1.5404,1.0657,0.5033,1.8623,2.0184,1.3633,2.0183,1.1138,3.7625,1.4739,4.9987,1.8254,0.0652,0.0554,1.4000,0.1424,0.3981,7,1,2.74,2.55
GOODS-S,129190,53.187706,-27.775927,10.770000457763672,10.770000457763672,10.739142417907715,0.9923561215400696,10-15,1.1598,1.3148,0.2800,1.1177,3.8208,1.2022,2.5666,1.3096,2.2513,0.8316,1.8516,0.9410,2.6131,1.2030,0.0821,0.0646,1.4000,0.1739,0.4690,7,1,2.17,1.97
GOODS-S,129221,53.12465,-27.775908,6.610000133514404,6.610000133514404,6.610691547393799,0.9999991655349731,6-8,2.3096,2.1863,7.8218,1.7985,6.5209,1.8670,7.6691,1.7285,6.9317,1.4495,11.8533,1.2846,7.8554,1.7178,0.0850,0.0624,1.4000,0.1755,0.5817,7,1,4.57,9.23
GOODS-S,129233,53.16531,-27.77589,6.400000095367432,6.400000095367432,6.399724960327148,1.0,6-8,0.8219,1.3666,0.8089,1.1188,2.0996,1.2073,0.4197,1.0536,3.5212,0.7485,8.5106,0.8394,5.0313,1.2004,0.0647,0.0614,1.4000,0.1485,0.5684,7,1,4.19,10.14
GOODS-S,129399,53.16337,-27.775686,8.829999923706055,8.829999923706055,8.824686050415039,1.0,8-10,-0.2532,1.4756,3.5503,1.2491,7.6077,1.3724,5.0198,1.1737,5.3474,0.8624,4.4034,0.9073,6.6005,1.2292,0.0645,0.0568,1.4000,0.1432,0.5379,7,1,5.37,4.85
GOODS-S,129535,53.17293,-27.775457,10.739999771118164,10.739999771118164,10.741218566894531,0.9998016953468323,10-15,2.2077,1.7924,1.0341,1.3387,0.0746,1.5220,2.7114,1.4534,3.6458,1.1100,2.4795,1.2512,1.6298,1.5625,0.0821,0.0658,1.4000,0.1752,0.5392,7,1,1.04,1.98
GOODS-S,129589,53.180477,-27.775385,7.0,7.0,6.99714469909668,0.9989590644836426,6-8,0.5005,1.8234,6.2000,1.5780,5.2364,1.6187,3.7967,1.6946,4.1373,1.2938,8.2487,1.2099,7.2518,1.4465,0.0859,0.0696,1.4000,0.1841,0.5379,7,1,5.01,6.82
GOODS-S,129609,53.18268,-27.775377,6.730000019073486,6.730000019073486,6.734034061431885,1.0000001192092896,6-8,3.4396,1.5229,6.7973,1.4173,6.3755,1.3459,6.7316,1.3262,8.2550,1.0089,11.9379,0.9603,9.2948,1.2717,0.0736,0.0680,1.4000,0.1668,0.6502,7,1,7.31,12.43
GOODS-S,130115,53.164734,-27.774714,12.65999984741211,12.65999984741211,12.657880783081055,0.9999864101409912,10-15,-3.2196,1.6178,0.0679,1.3783,0.1104,1.4263,3.0821,1.2122,2.2126,0.9092,2.5171,0.9739,3.5999,1.3210,0.0704,0.0660,1.4000,0.1607,0.5032,7,1,2.73,2.58
GOODS-S,130123,53.179756,-27.774647,7.269999980926514,7.269999980926514,7.273395538330078,1.0000001192092896,6-8,-1.3475,1.8870,26.0392,1.5781,35.7082,1.6790,33.1353,1.8362,40.7790,1.1724,42.0098,1.2013,95.5916,1.4436,0.0943,0.0834,1.4000,0.2095,0.7765,7,1,66.22,34.97
GOODS-S,130158,53.16476,-27.774622,11.699999809265137,11.699999809265137,11.69131088256836,1.0000001192092896,10-15,-1.3304,1.7948,0.9958,1.5485,8.3659,1.6050,18.6672,1.3606,21.6610,1.0322,18.3430,1.0800,22.3669,1.4414,0.0772,0.0725,1.4000,0.1764,0.6689,7,1,15.52,16.98
GOODS-S,130262,53.17581,-27.774477,6.610000133514404,6.610000133514404,6.606823444366455,0.9999998807907104,6-8,12.5300,1.8013,32.1152,1.4515,30.1522,1.7375,32.0196,1.6334,45.3790,1.1353,66.0645,1.2119,53.2567,1.4634,0.0864,0.0769,1.4000,0.1926,0.7970,7,1,36.39,54.51
GOODS-S,130282,53.179535,-27.774437,7.570000171661377,7.570000171661377,7.5699334144592285,1.0,6-8,1.4388,1.6916,12.1381,1.3874,11.6544,1.4634,15.0507,1.4946,11.8208,1.0063,16.1958,1.0401,21.7388,1.2786,0.0857,0.0806,1.4000,0.1958,0.6612,7,1,17.00,15.57
GOODS-S,130530,53.105106,-27.774158,6.680000305175781,6.680000305175781,6.675288677215576,0.9999998807907104,6-8,26.7053,3.3564,72.3865,2.6154,67.6684,2.6042,75.0940,2.6790,79.7449,2.2158,141.4799,2.0211,69.1072,2.6637,0.0973,0.0909,1.4000,0.2217,0.7157,7,1,25.94,70.00
GOODS-S,130610,53.17531,-27.774052,7.200000286102295,7.200000286102295,7.200489521026611,0.9999989867210388,6-8,0.0534,1.4005,3.7421,1.0659,3.3060,1.2616,4.6354,1.1627,3.0198,0.8362,5.3200,0.9398,2.6774,1.1441,0.0659,0.0600,1.4000,0.1484,0.5364,7,1,2.34,5.66
GOODS-S,130640,53.17869,-27.773994,6.670000076293945,6.670000076293945,6.665170669555664,0.9999592304229736,6-8,2.2356,2.0022,8.2458,1.6191,6.0298,1.6946,3.4392,1.6729,5.3323,1.1874,10.2436,1.1949,10.4050,1.5257,0.0975,0.0721,1.4000,0.2019,0.5372,7,1,6.82,8.57
GOODS-S,130666,53.17954,-27.77395,7.269999980926514,7.269999980926514,7.265889644622803,1.0,6-8,-0.9340,1.4164,10.3388,1.1766,11.6604,1.2205,11.1254,1.1887,12.1203,0.8189,11.8432,0.8568,25.6021,1.0978,0.0759,0.0731,1.4000,0.1755,0.7171,7,1,23.32,13.82
GOODS-S,130941,53.18422,-27.77365,7.190000057220459,7.190000057220459,7.190167427062988,0.9994475245475769,6-8,-0.2474,1.2709,2.0096,1.2301,2.2136,1.2416,1.3347,1.0563,2.4617,0.8380,1.5378,0.8193,1.6008,1.0165,0.0692,0.0578,1.4000,0.1501,0.4697,7,1,1.57,1.88
GOODS-S,130989,53.21475,-27.773546,7.139999866485596,7.139999866485596,7.133652210235596,0.995891809463501,6-8,6.7854,4.4346,5.4511,3.7853,4.3434,3.4768,5.0918,2.8933,4.7433,2.3432,5.1870,1.7334,3.9325,2.0100,0.1003,0.0744,1.4000,0.2080,0.5594,7,1,1.96,2.99
GOODS-S,131002,53.175156,-27.773563,6.769999980926514,6.769999980926514,6.769047260284424,0.999943733215332,6-8,2.9834,1.8379,6.0117,1.4741,4.5385,1.7321,2.0880,1.5725,4.2894,1.1974,4.6789,1.2307,2.2983,1.4564,0.0850,0.0713,1.4000,0.1847,0.4100,7,1,1.58,3.80
GOODS-S,131067,53.158833,-27.773497,10.789999961853027,10.789999961853027,10.793394088745117,0.9999998211860657,10-15,0.1823,1.7172,0.6764,1.4216,11.3806,1.4842,10.0686,1.3516,10.2843,1.0377,9.0598,1.1189,10.1556,1.4083,0.0707,0.0671,1.4000,0.1624,0.5860,7,1,7.21,8.10
GOODS-S,131081,53.179493,-27.773462,7.240000247955322,7.240000247955322,7.242228984832764,1.0,6-8,1.5329,1.2839,6.9510,1.0721,7.0339,1.1159,5.9980,1.1258,6.4368,0.7460,5.7629,0.7853,11.6344,1.0180,0.0733,0.0686,1.4000,0.1672,0.5918,7,1,11.43,7.34
