field,ID,RA,DEC,z_peak,z_a,z_ml,Prob_gt_6,bin_z,F090W_flux,F090W_err,F115W_flux,F115W_err,F150W_flux,F150W_err,F200W_flux,F200W_err,F277W_flux,F277W_err,F356W_flux,F356W_err,F444W_flux,F444W_err,A_arcsec,B_arcsec,R_KRON_U,FWHM_arcsec,GINI,clean_phot_bands,size_usable,F444W_SNR,F356W_SNR
GOODS-S,795,53.114895,-27.920897,12.600000381469727,12.600000381469727,12.597655296325684,0.9851274490356445,10-15,-5.2412,3.1154,-2.3974,2.5700,0.5276,2.6730,0.3668,2.3814,4.6494,1.8118,3.3917,1.5940,11.8511,1.8261,0.0620,0.0603,1.4000,0.1440,0.4734,7,1,6.49,2.13
GOODS-S,1247,53.107742,-27.91706,6.420000076293945,6.420000076293945,6.413453578948975,0.9401260614395142,6-8,24.7013,6.9242,16.4196,5.9134,17.1438,5.7526,23.2204,4.9343,24.9395,3.4841,41.6632,3.5270,28.1522,4.0628,0.1244,0.0748,1.4000,0.2417,0.6069,7,1,6.93,11.81
GOODS-S,1259,53.103455,-27.917006,6.590000152587891,6.590000152587891,6.5893144607543945,0.9954290390014648,6-8,9.5200,9.8720,14.0511,7.0449,11.7889,6.3236,11.0905,5.8102,12.2585,3.7046,20.9924,2.6247,14.6331,3.1854,0.1036,0.0722,1.4000,0.2103,0.5241,7,1,4.59,8.00
GOODS-S,1653,53.071716,-27.914213,11.239999771118164,11.239999771118164,11.212139129638672,0.9999892115592957,10-15,-3.6787,2.4988,-2.8626,2.0411,3.0861,2.0753,10.7608,1.9311,9.2439,1.4307,14.4421,1.5259,17.4973,1.7824,0.0692,0.0612,1.4000,0.1539,0.5929,7,1,9.82,9.46
GOODS-S,1676,53.11906,-27.914047,6.409999847412109,6.409999847412109,6.402457237243652,0.931247353553772,6-8,5.1919,3.0250,6.9023,2.5554,6.3365,2.3318,5.8187,2.1283,5.6211,1.5294,9.4599,1.5524,9.9887,1.8895,0.0717,0.0657,1.4000,0.1619,0.4984,7,1,5.29,6.09
GOODS-S,1732,53.10092,-27.913633,6.440000057220459,6.440000057220459,6.438858985900879,0.9945565462112427,6-8,39.2790,10.3101,29.3623,7.6825,25.3496,7.2892,20.0921,5.7597,15.9224,3.1214,23.7566,2.1137,18.2821,2.5456,0.0842,0.0727,1.4000,0.1852,0.5403,7,1,7.18,11.24
GOODS-S,1849,53.066956,-27.913012,6.400000095367432,6.400000095367432,6.402716159820557,1.0000001192092896,6-8,5.7893,2.2533,10.7004,1.9198,6.9314,1.8197,3.8235,1.5053,6.9811,1.1156,10.9756,1.1348,7.5984,1.5609,0.0601,0.0572,1.4000,0.1382,0.5612,7,1,4.87,9.67
GOODS-S,2054,53.124416,-27.911854,9.180000305175781,9.180000305175781,9.179607391357422,0.9999551177024841,8-10,-3.2992,5.7197,-1.2049,4.3516,11.3304,4.0685,10.3311,3.4562,15.5798,2.1660,10.1566,2.3070,18.6202,2.4710,0.0979,0.0882,1.4000,0.2194,0.5076,7,1,7.54,4.40
GOODS-S,2055,53.03611,-27.911814,6.550000190734863,6.550000190734863,6.548437118530273,0.9989727139472961,6-8,-1.0992,2.7631,5.0165,2.4411,1.7976,2.4493,5.8696,1.9121,4.6466,1.4879,10.3343,1.5466,6.0589,1.8025,0.0716,0.0644,1.4000,0.1604,0.6181,7,1,3.36,6.68
GOODS-S,2079,53.066948,-27.911724,6.670000076293945,6.670000076293945,6.666976451873779,0.9985071420669556,6-8,5.9826,3.5073,10.1760,2.8800,18.1618,2.9086,11.1483,2.4463,13.1141,1.8331,17.1715,1.6999,14.3030,2.4079,0.0866,0.0622,1.4000,0.1775,0.5502,7,1,5.94,10.10
GOODS-S,2097,53.074238,-27.9116,6.329999923706055,6.329999923706055,6.329610347747803,0.9999998807907104,6-8,78.9044,2.5848,127.2703,2.1798,111.9714,2.3164,96.7024,2.4439,82.6375,2.3613,113.0033,1.9600,80.7313,2.8317,0.0738,0.0713,1.4000,0.1709,0.6995,7,1,28.51,57.65
GOODS-S,2109,53.066437,-27.911608,6.639999866485596,6.639999866485596,6.636789321899414,0.9999339580535889,6-8,0.1054,4.1608,16.9639,3.4620,9.5239,3.4626,8.7742,2.8607,12.8448,2.2692,17.6114,2.0422,18.0947,2.7076,0.0995,0.0703,1.4000,0.2029,0.5815,7,1,6.68,8.62
GOODS-S,2218,53.036453,-27.911045,8.010000228881836,8.010000228881836,8.01408576965332,1.0,8-10,0.0570,1.5728,9.3409,1.6280,5.7943,1.6949,6.0316,1.4484,5.1455,1.3831,5.8217,1.2646,7.0838,1.8118,0.0803,0.0688,1.4000,0.1761,0.5818,7,1,3.91,4.60
GOODS-S,2252,53.03776,-27.910969,6.450000286102295,6.450000286102295,6.4458818435668945,1.0,6-8,12.4011,2.3542,14.2900,1.9495,13.4302,2.0241,10.7211,1.6378,11.4272,1.9255,16.6310,1.7947,9.9638,1.9856,0.0802,0.0763,1.4000,0.1843,0.6152,7,1,5.02,9.27
GOODS-S,2425,53.12267,-27.910402,8.010000228881836,8.010000228881836,8.004039764404297,1.0,8-10,-3.5924,2.4319,10.4841,1.8848,14.0072,1.9906,12.4468,1.8049,9.3391,1.2447,7.8161,1.3651,8.8400,1.6574,0.0614,0.0560,1.4000,0.1383,0.5664,7,1,5.33,5.73
GOODS-S,2446,53.03658,-27.910255,8.760000228881836,8.760000228881836,8.753119468688965,0.9999986290931702,8-10,-0.1468,1.2373,1.5467,1.2386,4.6181,1.2515,6.9855,1.0985,4.5317,0.7112,5.0134,0.7010,7.4053,1.0482,0.0669,0.0620,1.4000,0.1518,0.5725,7,1,7.06,7.15
GOODS-S,2622,53.10634,-27.90965,6.670000076293945,6.670000076293945,6.666773796081543,0.9999920725822449,6-8,4.0251,2.9768,15.8243,2.6244,11.2710,2.5193,13.1015,2.1644,12.6255,1.6923,13.9774,1.6321,10.8456,2.0591,0.0841,0.0618,1.4000,0.1738,0.5616,7,1,5.27,8.56
GOODS-S,2847,53.11011,-27.908855,7.409999847412109,7.409999847412109,7.160314559936523,0.9999921917915344,6-8,-2.9280,2.7472,9.9645,2.3902,7.9622,2.2050,10.4064,2.0277,6.3162,1.5591,6.8520,1.6450,8.2031,2.1365,0.0724,0.0696,1.4000,0.1673,0.5548,7,1,3.84,4.17
GOODS-S,2950,53.103905,-27.908504,7.510000228881836,7.510000228881836,7.510656833648682,1.0000001192092896,6-8,7.3386,3.7264,28.2517,3.1076,18.0926,2.9050,13.4284,2.6933,4.6890,1.4731,17.2818,1.3396,50.5408,1.8188,0.0712,0.0698,1.4000,0.1661,0.6938,7,1,27.79,12.90
GOODS-S,2987,53.09393,-27.908411,8.210000038146973,8.210000038146973,8.205440521240234,0.9999639987945557,8-10,-0.7881,5.6849,8.3137,5.2881,17.0478,5.4918,15.1975,5.6649,12.2445,4.0756,7.0510,4.1301,13.4816,3.8353,0.0983,0.0710,1.4000,0.2019,0.4865,7,1,3.52,1.71
GOODS-S,2997,53.110325,-27.908407,7.119999885559082,7.119999885559082,7.11816930770874,0.9999725222587585,6-8,3.4177,2.6880,7.4665,2.3458,7.9527,2.1769,6.8431,2.0143,4.9486,1.6015,6.4886,1.6231,3.0595,2.1198,0.0708,0.0638,1.4000,0.1587,0.4803,7,1,1.44,4.00
GOODS-S,3061,53.112297,-27.908207,6.200000286102295,6.200000286102295,6.19213342666626,0.8824263215065002,6-8,10.1650,3.8646,11.5788,2.1281,11.7914,1.9941,8.4638,1.8617,8.1034,1.7084,10.5221,1.5865,9.3975,2.0566,0.0668,0.0556,1.4000,0.1447,0.5450,7,1,4.57,6.63
GOODS-S,3075,53.121597,-27.908133,11.819999694824219,11.819999694824219,11.810027122497559,1.0,10-15,-0.2608,3.7662,-0.6301,2.8776,11.6848,2.5621,21.6378,2.7184,22.5757,1.7807,15.7157,1.7245,15.6639,2.1310,0.0862,0.0719,1.4000,0.1869,0.6300,7,1,7.35,9.11
GOODS-S,3180,53.05973,-27.907764,8.529999732971191,8.529999732971191,8.52572250366211,0.9999996423721313,8-10,-13.7647,5.0967,16.3350,4.2931,11.9381,4.1217,8.5809,4.6228,9.5683,1.9243,10.4904,1.9831,13.6608,2.3718,0.0967,0.0796,1.4000,0.2085,0.5010,7,1,5.76,5.29
GOODS-S,3433,53.117756,-27.907005,7.400000095367432,7.400000095367432,7.40431022644043,1.0,6-8,-0.6531,3.5013,8.4552,2.3559,9.6136,2.1621,10.0811,2.0994,9.1915,1.4631,7.4900,1.4101,15.5225,2.1124,0.0748,0.0647,1.4000,0.1647,0.5464,7,1,7.35,5.31
GOODS-S,3590,53.05834,-27.906523,6.880000114440918,6.880000114440918,6.879402160644531,0.9881564378738403,6-8,-1.0552,2.6466,8.0847,2.3939,6.9230,2.1111,7.2492,1.8295,6.3984,1.2679,13.0945,1.3076,12.8831,1.7298,0.0694,0.0652,1.4000,0.1585,0.5546,7,1,7.45,10.01
GOODS-S,3599,53.035763,-27.90646,6.579999923706055,6.579999923706055,6.583171367645264,1.0,6-8,11.7306,1.5751,10.4957,1.5499,11.7867,1.4654,7.4018,1.2372,7.6748,0.8844,13.9919,0.8526,5.9829,0.9552,0.0771,0.0698,1.4000,0.1731,0.6023,7,1,6.26,16.41
GOODS-S,3750,53.126457,-27.906126,6.150000095367432,6.150000095367432,6.147899627685547,0.8109537959098816,6-8,21.2951,4.0192,19.0547,3.2326,14.0793,2.8606,10.4200,2.4942,11.9794,1.9644,17.7055,1.8967,14.4088,2.3428,0.0712,0.0655,1.4000,0.1610,0.6014,7,1,6.15,9.34
GOODS-S,3869,53.1033,-27.905771,6.650000095367432,6.650000095367432,6.652478218078613,1.0,6-8,20.4089,11.0711,85.3918,7.9419,95.0446,6.9005,93.7088,6.5256,111.4316,3.9134,166.8684,3.5998,128.7798,3.6564,0.1363,0.0868,1.4000,0.2691,0.7374,7,1,35.22,46.35
GOODS-S,3939,53.10947,-27.905651,6.820000171661377,6.820000171661377,6.815837383270264,0.9827433228492737,6-8,0.1843,3.6865,7.5810,3.3716,1.0803,3.2630,0.0526,2.5531,3.8605,2.2570,7.5824,2.2237,7.8509,2.4506,0.0817,0.0664,1.4000,0.1753,0.4647,7,1,3.20,3.41
GOODS-S,4064,53.100323,-27.905375,8.480000495910645,8.480000495910645,8.474640846252441,0.9999997615814209,8-10,5.6318,2.7542,6.7729,3.0166,6.9823,2.7480,13.7274,2.2627,9.7613,1.6831,8.1519,1.5229,17.2214,1.8201,0.0655,0.0623,1.4000,0.1505,0.5987,7,1,9.46,5.35
GOODS-S,4159,53.034904,-27.905127,6.559999942779541,6.559999942779541,6.561043739318848,0.995766818523407,6-8,0.4434,1.4555,2.0750,1.6068,0.1105,1.4790,2.2496,1.2778,0.9920,0.9557,4.4370,0.9517,1.6677,1.0302,0.0785,0.0617,1.4000,0.1663,0.5110,7,1,1.62,4.66
GOODS-S,4172,53.03386,-27.905098,8.760000228881836,8.760000228881836,8.751523971557617,1.0,8-10,-0.3325,1.7780,6.4033,1.8569,12.6441,1.6504,10.6664,1.4006,7.3799,1.1666,10.5322,1.1430,16.6977,1.1514,0.0915,0.0728,1.4000,0.1947,0.6092,7,1,14.50,9.21
GOODS-S,4206,53.036682,-27.905025,6.579999923706055,6.579999923706055,6.583601474761963,0.9995806813240051,6-8,-1.6038,1.8676,9.0286,2.0613,4.8868,1.8788,4.6900,1.5589,4.5238,1.2407,5.1274,1.1934,3.6110,1.2355,0.0909,0.0753,1.4000,0.1964,0.5104,7,1,2.92,4.30
GOODS-S,4285,53.108192,-27.904902,6.619999885559082,6.619999885559082,6.615868091583252,0.9999551177024841,6-8,2.4318,4.5556,13.3347,4.1503,14.3093,3.9067,10.9682,3.2901,8.4459,2.4685,18.5160,2.4458,14.6062,2.5779,0.0918,0.0729,1.4000,0.1953,0.5156,7,1,5.67,7.57
GOODS-S,4342,53.1201,-27.904772,6.610000133514404,6.610000133514404,6.611146926879883,1.0,6-8,7.7274,4.2980,28.1147,3.3116,23.7423,3.2275,19.3107,2.8856,27.9567,2.0472,44.4146,1.9967,29.1324,2.5028,0.0906,0.0778,1.4000,0.1988,0.6052,7,1,11.64,22.24
GOODS-S,4365,53.098072,-27.90468,6.220000267028809,6.220000267028809,6.221212387084961,0.9509899020195007,6-8,19.1525,3.5286,31.1513,2.9705,28.0545,2.8191,21.5452,2.4973,26.7244,2.1644,33.3168,1.9921,29.3123,2.4906,0.0887,0.0740,1.4000,0.1924,0.5835,7,1,11.77,16.72
GOODS-S,4403,53.046227,-27.904606,6.610000133514404,6.610000133514404,6.614497661590576,0.9987675547599792,6-8,0.4450,1.2458,3.4934,1.1881,3.6827,1.1679,3.0883,1.0718,3.9401,1.0392,5.0282,0.8686,2.1610,1.0816,0.0692,0.0582,1.4000,0.1506,0.5605,7,1,2.00,5.79
GOODS-S,4447,53.036396,-27.904474,6.630000114440918,6.630000114440918,6.629373073577881,0.9999984502792358,6-8,2.1294,3.1490,16.5063,3.8674,12.8908,3.2213,9.1110,2.9224,9.7632,2.3515,16.2802,2.2858,14.9405,2.3394,0.1481,0.0790,1.4000,0.2795,0.6214,7,1,6.39,7.12
GOODS-S,4473,53.081608,-27.90438,6.610000133514404,6.610000133514404,6.611265659332275,1.0,6-8,42.8897,7.3654,106.5489,5.8596,105.9273,6.2172,111.3600,6.5350,128.2609,4.1668,223.9314,5.8535,143.8527,4.9695,0.1196,0.1042,1.4000,0.2642,0.7045,7,1,28.95,38.26
GOODS-S,4569,53.03098,-27.904217,6.340000152587891,6.340000152587891,6.342912197113037,0.9995458126068115,6-8,3.0516,1.8526,2.8003,1.6980,3.4648,1.4005,2.2527,2.1568,2.2402,1.0793,5.1270,0.9420,1.7575,1.1534,0.0775,0.0675,1.4000,0.1711,0.5466,7,1,1.52,5.44
GOODS-S,4588,53.03889,-27.904146,6.570000171661377,6.570000171661377,6.569273471832275,1.0000001192092896,6-8,11.8805,2.2057,26.1936,2.6947,20.1866,2.4160,14.1908,2.0213,16.1293,1.8614,27.4764,1.8971,19.4901,1.8423,0.1163,0.0742,1.4000,0.2297,0.5814,7,1,10.58,14.48
GOODS-S,4920,53.03171,-27.903479,8.819999694824219,8.819999694824219,8.819964408874512,0.9999322891235352,8-10,-0.2091,1.4491,0.1222,1.5421,4.3209,1.4308,3.3567,1.3015,3.8624,0.9955,3.4537,0.9427,7.0540,1.1873,0.0747,0.0683,1.4000,0.1685,0.5420,7,1,5.94,3.66
GOODS-S,5014,53.100086,-27.903309,6.53000020980835,6.53000020980835,6.524299144744873,0.9957810640335083,6-8,6.7178,3.3075,19.6328,3.1209,21.0130,2.8577,19.9973,2.7984,16.7967,2.4632,14.5371,2.0287,6.8826,2.2347,0.0752,0.0659,1.4000,0.1666,0.5683,7,1,3.08,7.17
GOODS-S,5076,53.085075,-27.903175,7.53000020980835,7.53000020980835,7.531535625457764,1.0,6-8,-1.0428,2.9419,9.4048,2.2904,10.6897,2.1255,6.8321,2.2891,9.1054,1.4100,5.1778,1.4974,6.5560,1.5529,0.0720,0.0593,1.4000,0.1554,0.5339,7,1,4.22,3.46
GOODS-S,5141,53.08445,-27.903034,8.010000228881836,8.010000228881836,8.005240440368652,1.0,8-10,2.8669,3.4345,22.9440,2.7194,18.2619,2.5017,23.0792,3.0109,14.8492,2.1647,12.5522,2.1174,17.3094,2.4149,0.0830,0.0762,1.4000,0.1876,0.5993,7,1,7.17,5.93
GOODS-S,5403,53.11497,-27.902552,6.800000190734863,6.800000190734863,6.801956653594971,0.829718828201294,6-8,3.1575,6.2287,8.9503,4.5973,15.9368,4.5460,17.3257,4.0745,15.4240,2.7803,16.9405,2.6876,15.0072,3.0353,0.1204,0.0970,1.4000,0.2574,0.4884,7,1,4.94,6.30
GOODS-S,5511,53.03266,-27.902342,8.539999961853027,8.539999961853027,8.536652565002441,0.9665857553482056,8-10,-2.3928,1.7984,0.0000,1.8967,1.2353,1.7038,1.1941,1.5205,1.8221,1.3047,2.8414,1.2934,3.2798,1.4659,0.0869,0.0600,1.4000,0.1759,0.4194,7,1,2.24,2.20
GOODS-S,5619,53.03512,-27.902119,7.490000247955322,7.490000247955322,7.492462635040283,1.0,6-8,1.0334,1.3603,12.3286,1.7610,15.1749,1.4429,12.0898,1.3505,11.1230,0.9785,9.9869,1.0619,17.5690,1.1585,0.0724,0.0662,1.4000,0.1633,0.7076,7,1,15.16,9.40
GOODS-S,5625,53.106846,-27.902143,6.570000171661377,6.570000171661377,6.5687761306762695,0.9930989146232605,6-8,0.2303,4.7756,3.4792,4.2106,1.1236,3.9506,2.1775,3.5160,9.6202,2.3266,18.4747,2.0670,5.9474,2.1575,0.0791,0.0765,1.4000,0.1832,0.5357,7,1,2.76,8.94
GOODS-S,5713,53.035244,-27.901953,8.539999961853027,8.539999961853027,8.535651206970215,0.999998152256012,8-10,-0.0251,1.5810,5.5760,2.0545,9.6795,1.7323,7.7077,1.5269,2.8487,1.1113,6.6277,1.1825,6.6599,1.2702,0.0798,0.0687,1.4000,0.1754,0.5139,7,1,5.24,5.60
GOODS-S,5864,53.09196,-27.901693,7.050000190734863,7.050000190734863,7.046500205993652,1.0,6-8,2.4169,2.5498,12.0850,2.7205,14.6051,2.5192,8.3678,2.1099,7.1891,1.3609,7.3824,1.3072,16.0310,1.7134,0.0662,0.0641,1.4000,0.1534,0.5627,7,1,9.36,5.65
GOODS-S,5869,53.097694,-27.90168,6.550000190734863,6.550000190734863,6.553025245666504,0.9999986290931702,6-8,23.8131,4.6091,42.8221,4.9690,31.9658,4.7065,33.7650,3.3071,25.1694,3.0372,21.8688,2.3181,13.3388,2.3211,0.1030,0.0877,1.4000,0.2252,0.5999,7,1,5.75,9.43
GOODS-S,5924,53.034863,-27.90158,6.570000171661377,6.570000171661377,6.570839881896973,0.9999980330467224,6-8,2.0962,2.2164,7.9544,2.3879,5.7312,2.1705,3.4805,1.6861,8.0916,1.2346,7.5947,1.2797,4.9269,1.3829,0.0866,0.0737,1.4000,0.1893,0.5104,7,1,3.56,5.93
GOODS-S,5936,53.119904,-27.90158,8.020000457763672,8.020000457763672,8.017168998718262,0.9999997019767761,8-10,-7.2437,4.8625,14.5027,3.7755,8.9730,3.3616,11.0823,2.9065,7.1294,2.3948,8.2754,2.2396,16.3739,2.7304,0.0877,0.0815,1.4000,0.1994,0.4832,7,1,6.00,3.70
GOODS-S,6137,53.075718,-27.901224,9.1899995803833,9.1899995803833,9.187491416931152,0.9165886044502258,8-10,-5.1634,5.5856,7.7366,5.0809,16.3638,4.9576,11.6763,4.4774,13.2497,3.4785,14.4271,2.9095,20.2318,3.7200,0.0897,0.0797,1.4000,0.1998,0.4616,7,1,5.44,4.96
GOODS-S,6173,53.09626,-27.901142,8.40999984741211,8.40999984741211,8.409452438354492,1.0,8-10,-5.6988,2.8412,8.7495,2.9992,13.1794,2.7915,12.1702,1.9831,11.4280,1.6352,16.1962,1.3706,36.0012,1.5472,0.0695,0.0654,1.4000,0.1589,0.6358,7,1,23.27,11.82
GOODS-S,6221,53.03972,-27.901041,6.570000171661377,6.570000171661377,6.566761493682861,0.997667133808136,6-8,0.7097,1.6370,3.2816,1.9758,0.7815,1.7143,2.2478,1.4477,3.9266,1.1877,4.0959,1.2009,2.9150,1.2796,0.0906,0.0828,1.4000,0.2044,0.5376,7,1,2.28,3.41
GOODS-S,6230,53.09046,-27.901037,7.510000228881836,7.510000228881836,7.513900279998779,0.99998939037323,6-8,-2.0107,2.9625,1.3665,3.1008,7.8874,2.8731,7.1548,2.7089,4.9640,1.6672,7.1438,1.6158,12.2034,2.1137,0.0792,0.0697,1.4000,0.1757,0.5094,7,1,5.77,4.42
GOODS-S,6245,53.031414,-27.90095,6.670000076293945,6.670000076293945,6.673320293426514,0.9999926686286926,6-8,-8.8634,3.4619,2.7352,3.8674,6.4846,3.4025,4.2660,2.9678,3.8166,2.7103,7.1875,2.4062,0.0465,2.6460,0.1461,0.0668,1.4000,0.2674,0.5593,7,1,0.02,2.99
GOODS-S,6252,53.198265,-27.763222,7.130000114440918,7.130000114440918,7.1329474449157715,1.0000001192092896,6-8,7.5641,4.8273,35.4344,3.0897,39.6181,3.8163,30.3730,3.6170,32.0139,1.6683,36.7908,1.8244,37.5996,2.1906,0.1142,0.0887,1.4000,0.2409,0.7222,7,1,17.16,20.17
GOODS-S,6347,53.108994,-27.90084,8.90999984741211,8.90999984741211,8.90636157989502,1.0000001192092896,8-10,-7.8177,6.2134,29.8033,5.3907,66.0565,4.9790,60.7908,4.4831,58.2246,2.7048,63.1164,2.8416,121.6014,3.2105,0.1075,0.0767,1.4000,0.2198,0.7220,7,1,37.88,22.21
GOODS-S,6485,53.108906,-27.900646,6.659999847412109,6.659999847412109,6.6559624671936035,0.9988577365875244,6-8,2.9787,5.1628,7.1024,4.3753,8.1101,4.1869,8.3730,3.8215,15.9015,2.0776,24.5812,2.2259,15.2937,2.5626,0.0901,0.0762,1.4000,0.1966,0.6152,7,1,5.97,11.04
GOODS-S,6492,53.108414,-27.900648,7.03000020980835,7.03000020980835,7.023943901062012,0.9994545578956604,6-8,-9.4732,6.5579,8.2028,5.5178,8.7895,5.9090,9.4310,5.2596,3.7019,2.4823,8.2776,2.8343,11.2570,3.2177,0.1099,0.0730,1.4000,0.2197,0.4645,7,1,3.50,2.92
GOODS-S,6555,53.108437,-27.90057,7.409999847412109,7.409999847412109,7.411476135253906,0.999999463558197,6-8,-6.6945,5.7064,4.6680,4.7605,3.8491,5.0632,10.4512,4.5337,8.6074,2.1294,10.1656,2.4389,16.6372,2.8270,0.0970,0.0656,1.4000,0.1950,0.4915,7,1,5.89,4.17
GOODS-S,6562,53.084,-27.900509,7.200000286102295,7.200000286102295,7.195041656494141,0.9994994401931763,6-8,4.3729,4.0490,23.4886,3.7439,16.8993,3.9435,21.7705,3.7272,22.3798,3.0061,22.8486,3.2852,23.4556,3.0341,0.1035,0.0852,1.4000,0.2232,0.6115,7,1,7.73,6.95
GOODS-S,6712,53.035133,-27.900234,7.5,7.5,7.50485372543335,0.9998571276664734,6-8,-0.4941,1.8968,6.7003,1.7613,4.4758,1.6196,3.3249,1.3397,2.5791,1.0164,-0.0384,1.1192,4.2060,1.1166,0.0729,0.0645,1.4000,0.1621,0.4382,7,1,3.77,-0.03
GOODS-S,6771,53.115948,-27.900152,6.680000305175781,6.680000305175781,6.680896282196045,0.9603342413902283,6-8,10.4861,4.9518,15.7508,3.7841,10.5205,3.4358,12.7550,3.1375,20.6053,2.4656,21.8822,2.1668,19.5525,2.6827,0.0860,0.0693,1.4000,0.1839,0.5043,7,1,7.29,10.10
GOODS-S,6976,53.067635,-27.899824,7.309999942779541,7.309999942779541,7.30537748336792,0.8513268232345581,6-8,-8.9470,6.0770,5.7144,6.5377,8.0078,6.6601,8.4611,5.6025,9.3715,4.1112,7.8443,3.0989,8.8587,3.6530,0.0862,0.0664,1.4000,0.1812,0.3899,7,1,2.43,2.53
GOODS-S,7091,53.095333,-27.899635,7.440000057220459,7.440000057220459,7.439083099365234,0.9999999403953552,6-8,1.9530,2.5018,10.1222,2.0628,7.1003,2.1187,6.9737,1.7758,4.7657,1.3340,7.6493,1.2703,10.8496,1.6403,0.0786,0.0693,1.4000,0.1744,0.5752,7,1,6.61,6.02
GOODS-S,7153,53.0859,-27.899557,6.470000267028809,6.470000267028809,6.466654300689697,0.9799650311470032,6-8,-0.2251,2.4924,-0.7227,2.1610,2.1908,2.0180,4.2008,1.7528,3.7095,1.5152,7.4624,1.4671,3.5077,1.7615,0.0760,0.0724,1.4000,0.1748,0.4218,7,1,1.99,5.09
GOODS-S,7173,53.077343,-27.899506,6.639999866485596,6.639999866485596,6.636012077331543,0.9281173348426819,6-8,3.2156,5.8500,9.8917,5.1999,10.7852,4.8671,9.7961,4.1713,6.4230,3.0460,14.3573,2.6975,2.0590,3.4528,0.0951,0.0849,1.4000,0.2123,0.4397,7,1,0.60,5.32
GOODS-S,7220,53.088196,-27.899384,8.640000343322754,8.640000343322754,8.641109466552734,0.9998970627784729,8-10,-2.9963,2.8836,3.7613,2.7801,4.7891,2.5727,5.5382,2.1889,4.2855,1.7160,9.8018,1.7775,14.2230,2.2876,0.0937,0.0683,1.4000,0.1931,0.5015,7,1,6.22,5.51
GOODS-S,7390,53.12222,-27.89908,9.180000305175781,9.180000305175781,9.174373626708984,1.0,8-10,0.0099,7.8128,2.8940,5.8794,27.8768,6.0660,38.5932,5.9234,28.9860,4.0344,32.2985,4.1085,49.8672,4.4631,0.1198,0.0857,1.4000,0.2452,0.5732,7,1,11.17,7.86
GOODS-S,7423,53.095543,-27.899065,8.449999809265137,8.449999809265137,8.446276664733887,1.0,8-10,-0.9977,2.1654,2.5673,1.8113,6.2677,1.8507,2.0386,1.4808,3.6585,1.1103,3.9898,1.1248,13.3676,1.4394,0.0715,0.0641,1.4000,0.1599,0.6105,7,1,9.29,3.55
GOODS-S,7541,53.0333,-27.898779,6.539999961853027,6.539999961853027,6.539988040924072,1.0000001192092896,6-8,26.2258,2.7960,53.0361,2.6862,59.2706,2.3439,53.6672,2.0662,71.0338,1.4853,116.0030,1.4226,80.5841,1.4646,0.1041,0.0864,1.4000,0.2252,0.7779,7,1,55.02,81.54
GOODS-S,7678,53.056572,-27.898642,6.539999961853027,6.539999961853027,6.539691925048828,0.9999979138374329,6-8,12.8426,3.9017,20.8833,3.6762,17.1831,3.0814,21.6211,2.6770,21.2712,1.7375,32.4364,1.5266,25.3965,2.2083,0.0836,0.0728,1.4000,0.1846,0.6109,7,1,11.50,21.25
GOODS-S,7699,53.033344,-27.898619,8.880000114440918,8.880000114440918,8.498559951782227,1.0000001192092896,8-10,-0.7779,2.0075,8.4809,1.9168,15.2724,1.6743,16.3812,1.5513,18.0525,1.0451,24.9154,1.0147,45.5434,1.1161,0.0803,0.0734,1.4000,0.1811,0.6976,7,1,40.81,24.56
GOODS-S,7821,53.090343,-27.898502,6.200000286102295,6.200000286102295,6.1980462074279785,0.9771668910980225,6-8,5.0130,2.6495,2.1236,2.2297,3.0526,2.1202,3.2256,1.7760,5.6060,1.4700,5.4834,1.4374,3.2714,1.9330,0.0810,0.0715,1.4000,0.1798,0.4796,7,1,1.69,3.81
GOODS-S,8094,53.054726,-27.898039,6.579999923706055,6.579999923706055,6.577291965484619,0.991091251373291,6-8,1.6544,1.7107,0.7178,1.5574,6.0500,1.5547,1.6410,1.3775,0.7959,1.0013,2.9736,0.8873,2.0743,1.1056,0.0843,0.0738,1.4000,0.1866,0.4569,7,1,1.88,3.35
GOODS-S,8162,53.09669,-27.897886,6.590000152587891,6.590000152587891,6.454699993133545,1.0,6-8,33.3842,4.7860,49.7106,4.4940,45.9999,4.8211,41.7450,3.5700,57.3106,3.1830,91.4820,2.9174,65.3651,3.1062,0.1409,0.0801,1.4000,0.2699,0.7226,7,1,21.04,31.36
GOODS-S,8180,53.1245,-27.897888,6.930000305175781,6.930000305175781,6.934573173522949,0.817757785320282,6-8,1.1839,6.7020,5.6631,5.2043,18.2220,5.1092,11.8477,4.4915,19.1121,3.6330,16.5012,3.4280,14.9391,3.9656,0.1057,0.0773,1.4000,0.2180,0.4241,7,1,3.77,4.81
GOODS-S,8182,53.092144,-27.897879,6.619999885559082,6.619999885559082,6.618917465209961,0.9999997615814209,6-8,2.8728,2.6688,9.6029,2.0759,10.0401,2.1311,8.7943,1.7608,7.4661,1.5109,16.8556,1.4323,11.9555,1.7560,0.0779,0.0689,1.4000,0.1732,0.6016,7,1,6.81,11.77
GOODS-S,8262,53.033123,-27.897661,6.039999961853027,6.039999961853027,6.041697025299072,0.8217257261276245,6-8,10.2334,2.9006,14.0083,3.2227,12.7512,2.5578,9.8457,2.2010,20.3345,1.3959,22.4892,1.2524,19.7341,1.3234,0.0920,0.0733,1.4000,0.1958,0.6550,7,1,14.91,17.96
