field,ID,z_peak,Prob_gt_6,bin_z,F444W_flux,F200W_flux,F356W_flux,F150W_flux,red_1,red_2,A_arcsec,FWHM_arcsec,rank_in_bin,color_index,bin_size,hunt_type
GOODS-N,1075168,12.519999504089355,1.0000001192092896,10-15,734.0414,86.2872,382.7311,30.6573,0.9298,1.0964,0.1479,0.3227,9,red_2,184,redness
GOODS-S,428330,11.609999656677246,0.9972654581069946,10-15,4877.4846,898.2366,3124.3095,285.4115,0.7348,1.0393,0.3958,0.7050,10,red_2,184,redness
GOODS-N,1125125,11.880000114440918,1.0,10-15,3833.6036,550.4212,2052.8355,217.8741,0.8429,0.9741,0.2782,0.5541,11,red_2,184,redness
GOODS-N,1186342,11.970000267028809,0.9999998807907104,10-15,2175.4129,152.3807,1029.4537,121.6527,1.1546,0.9275,0.2428,0.4936,12,red_2,184,redness
GOODS-S,416913,11.569999694824219,0.9994826912879944,10-15,7121.1753,1840.7539,5121.9705,953.1846,0.5876,0.7303,0.2702,0.5138,13,red_2,184,redness
GOODS-S,429397,12.15999984741211,0.9999841451644897,10-15,1323.6220,254.1734,789.4110,148.8442,0.7166,0.7246,0.2009,0.4175,14,red_2,184,redness
GOODS-S,464514,11.489999771118164,1.0000001192092896,10-15,223.0884,20.2451,82.3661,18.3919,1.0422,0.6511,0.0723,0.1686,15,red_2,184,redness
GOODS-S,29402,10.670000076293945,1.0,10-15,14.9587,6.3315,9.9054,2.7473,0.3734,0.5570,0.0688,0.1601,16,red_2,184,redness
GOODS-N,1223231,11.920000076293945,1.0000001192092896,10-15,440.4238,17.7133,76.3735,24.2896,1.3956,0.4975,0.0811,0.1894,17,red_2,184,redness
GOODS-S,153326,11.550000190734863,1.0,10-15,224.4893,10.2416,116.9778,37.9925,1.3408,0.4884,0.0748,0.1736,18,red_2,184,redness
GOODS-S,149962,12.6899995803833,1.0,10-15,9.1540,13.5989,9.1204,3.2243,-0.1719,0.4516,0.0679,0.1561,19,red_2,184,redness
GOODS-S,469315,11.65999984741211,1.0000001192092896,10-15,119.3888,3.1578,27.7166,9.9810,,0.4436,0.0723,0.1677,20,red_2,184,redness
GOODS-S,125061,10.319999694824219,1.0000001192092896,10-15,46.7961,8.6795,20.9062,7.6147,0.7317,0.4386,0.0668,0.1544,21,red_2,184,redness
GOODS-S,403046,10.520000457763672,0.9995622634887695,10-15,9.0677,6.8726,8.9029,3.8948,0.1204,0.3590,0.0796,0.1730,22,red_2,184,redness
GOODS-S,130158,11.699999809265137,1.0000001192092896,10-15,22.3669,18.6672,18.3430,8.3659,0.0785,0.3410,0.0772,0.1764,23,red_2,184,redness
GOODS-S,354282,10.489999771118164,0.999943196773529,10-15,41.0771,21.1102,28.3532,13.4688,0.2891,0.3233,0.0937,0.2063,24,red_2,184,redness
GOODS-S,503885,11.930000305175781,1.0,10-15,8.8513,8.9120,7.0423,3.3645,-0.0030,0.3208,0.0689,0.1600,25,red_2,184,redness
GOODS-S,439196,11.319999694824219,0.9975651502609253,10-15,6.1094,5.8042,6.6995,3.2162,0.0223,0.3187,0.0736,0.1700,26,red_2,184,redness
GOODS-N,1137901,10.720000267028809,0.9986467361450195,10-15,13.9890,11.8177,11.3991,5.7667,0.0733,0.2959,0.0705,0.1637,27,red_2,184,redness
GOODS-N,1127846,11.029999732971191,1.0,10-15,11.5616,20.5421,17.5486,9.2079,-0.2496,0.2801,0.0783,0.1736,28,red_2,184,redness
GOODS-S,436031,12.430000305175781,1.0,10-15,5.3478,7.8062,7.8428,4.1163,-0.1643,0.2800,0.0849,0.1926,29,red_2,184,redness
GOODS-S,495517,11.050000190734863,1.0,10-15,9.1491,15.8037,8.8662,4.6589,-0.2374,0.2795,0.0734,0.1640,30,red_2,184,redness
