field,ID,z_peak,Prob_gt_6,bin_z,F444W_flux,F200W_flux,F356W_flux,F150W_flux,red_1,red_2,A_arcsec,FWHM_arcsec,rank_in_bin,color_index,bin_size,hunt_type
GOODS-S,425205,7.800000190734863,0.9999986290931702,6-8,4921.0770,467.3247,2651.4081,184.7524,1.0224,1.1569,0.2911,0.5568,4,red_2,3405,redness
GOODS-S,355255,6.220000267028809,0.9979878067970276,6-8,720.9798,40.2382,312.9658,22.9540,1.2533,1.1346,0.0822,0.1886,5,red_2,3405,redness
GOODS-S,121710,7.909999847412109,1.0,6-8,255.8118,14.1674,123.8230,9.1002,1.2566,1.1338,0.0713,0.1666,6,red_2,3405,redness
GOODS-N,1149542,6.639999866485596,1.0,6-8,855.6255,37.4455,408.1015,34.0973,1.3589,1.0780,0.0759,0.1776,7,red_2,3405,redness
GOODS-N,1089808,6.5,0.9957369565963745,6-8,144.5836,6.1048,71.8147,8.0585,1.3744,0.9500,0.0676,0.1584,8,red_2,3405,redness
GOODS-S,461699,6.789999961853027,1.0,6-8,234.3875,26.2840,115.4967,14.6025,0.9502,0.8981,0.0738,0.1717,9,red_2,3405,redness
GOODS-S,411970,7.180000305175781,0.9998729228973389,6-8,2513.1857,473.1394,1707.1185,242.5783,0.7252,0.8474,0.3151,0.6187,10,red_2,3405,redness
GOODS-N,1188841,7.260000228881836,0.9994921684265137,6-8,3967.2137,587.7994,2443.2972,353.1104,0.8293,0.8401,0.2355,0.4672,11,red_2,3405,redness
GOODS-N,1017694,7.210000038146973,0.9959248304367065,6-8,295.1760,20.7367,135.5625,19.6754,1.1533,0.8382,0.0698,0.1634,12,red_2,3405,redness
GOODS-S,490383,6.680000305175781,0.8821556568145752,6-8,59.8634,25.0016,85.9985,12.7176,0.3792,0.8301,0.0750,0.1715,13,red_2,3405,redness
GOODS-S,141638,6.809999942779541,1.0,6-8,8.4137,2.4989,14.0285,2.0902,0.5272,0.8268,0.0613,0.1435,14,red_2,3405,redness
GOODS-S,448527,6.059999942779541,0.807561993598938,6-8,189.4528,14.1760,81.1064,12.9329,1.1259,0.7974,0.0723,0.1656,15,red_2,3405,redness
GOODS-N,1220020,6.450000286102295,0.9976325631141663,6-8,717.8120,51.0533,308.4707,49.6563,1.1480,0.7932,0.0756,0.1740,16,red_2,3405,redness
