field,ID,RA,DEC,z_peak,z_a,z_ml,z_spec,Prob_gt_6,Prob_gt_7,Prob_gt_8,Prob_gt_9,chi_a,nfilt,clean_lw_bands,tag_low_prob,tag_spec_conflict,tag_low_red_coverage,tag_lowz_competitive
GOODS-S,308388,53.222065,-27.80349,7.470000267028809,7.470000267028809,7.4683685302734375,-9999.0,0.9939369559288025,0.9129740595817566,0.033395860344171524,6.415446114260703e-05,14.043030738830566,14,6,0,0,0,1
GOODS-S,308439,53.091694,-27.803255,8.369999885559082,8.369999885559082,8.371610641479492,-9999.0,0.8383722901344299,0.7756542563438416,0.541056752204895,0.05105173960328102,7.828829288482666,16,7,0,0,0,1
GOODS-S,308600,53.1027,-27.802555,7.550000190734863,7.550000190734863,7.549721717834473,-9999.0,0.9880521297454834,0.807187020778656,0.005483186338096857,3.4314200547669316e-06,11.913243293762207,16,7,0,0,0,1
GOODS-S,308647,53.093594,-27.802309,8.460000038146973,8.460000038146973,8.4514741897583,-9999.0,0.9486137628555298,0.9352172017097473,0.7320865392684937,0.11392472684383392,3.42067551612854,16,7,0,0,0,0
GOODS-S,308708,53.091507,-27.802032,11.430000305175781,11.430000305175781,11.386764526367188,-9999.0,0.9994953274726868,0.9994952082633972,0.9994950890541077,0.9994921088218689,5.2936811447143555,16,7,0,0,0,0
GOODS-S,308738,53.1542,-27.801916,7.090000152587891,7.090000152587891,7.092123508453369,-9999.0,0.897571325302124,0.6170539259910583,0.21993418037891388,0.023508772253990173,10.34414005279541,16,7,0,0,0,1
GOODS-S,308741,53.107525,-27.80192,7.240000247955322,7.240000247955322,7.2364182472229,-9999.0,0.9941977262496948,0.9904304146766663,5.367575795389712e-06,1.962986971193459e-06,4.932688236236572,16,7,0,0,0,0
GOODS-S,308753,53.123592,-27.801826,9.880000114440918,9.880000114440918,9.872546195983887,-9999.0,0.9637985825538635,0.9634926319122314,0.9633527398109436,0.8862195014953613,17.74286460876465,19,10,0,0,0,1
GOODS-S,308840,53.20246,-27.801373,6.78000020980835,6.78000020980835,6.776233196258545,-9999.0,0.9997836947441101,1.150381876868778e-06,5.045876605436206e-07,4.149484595927788e-07,18.957443237304688,14,6,0,0,0,0
GOODS-S,308871,53.18677,-27.801153,9.050000190734863,9.050000190734863,9.052044868469238,-9999.0,0.8425187468528748,0.6497059464454651,0.44556623697280884,0.19340133666992188,7.043879985809326,16,7,0,0,0,1
GOODS-S,308872,53.174217,-27.80118,6.450000286102295,6.450000286102295,6.443490028381348,-9999.0,0.9097928404808044,0.30663415789604187,0.14177373051643372,0.018728215247392654,11.790130615234375,16,7,0,0,0,1
GOODS-S,309003,53.206303,-27.800495,6.430000305175781,6.430000305175781,6.431698799133301,-9999.0,0.9942139387130737,0.004648922011256218,2.529250741645228e-05,3.093621714356232e-08,10.133007049560547,14,6,0,0,0,0
GOODS-S,309015,53.170166,-27.80046,8.859999656677246,8.859999656677246,8.860567092895508,-9999.0,0.9741867780685425,0.9707673192024231,0.9616127610206604,0.542282223701477,17.728986740112305,19,10,0,0,0,1
GOODS-S,309060,53.092056,-27.800295,9.289999961853027,9.289999961853027,9.289054870605469,-9999.0,0.8302221298217773,0.8302109837532043,0.8301934599876404,0.6747363805770874,21.154979705810547,16,7,0,0,0,1
GOODS-S,309080,53.225857,-27.800129,6.139999866485596,6.139999866485596,6.139374256134033,-9999.0,0.9923257231712341,2.3095587948773755e-06,1.6048237228005746e-07,2.566667798437061e-12,13.721673965454102,14,6,0,0,0,1
GOODS-S,309091,53.109978,-27.800114,15.309999465942383,15.309999465942383,15.309191703796387,-9999.0,0.8078002333641052,0.803939938545227,0.8026148676872253,0.7958874106407166,7.270352363586426,16,7,0,0,0,1
GOODS-S,309118,53.14558,-27.800007,7.380000114440918,7.380000114440918,7.3845415115356445,-9999.0,0.9999915361404419,0.9683313369750977,0.014216520823538303,7.3809947934933e-05,17.578996658325195,16,7,0,0,0,0
GOODS-S,309156,53.18514,-27.799793,6.539999961853027,6.539999961853027,6.536357879638672,-9999.0,0.8329288959503174,0.3845232129096985,0.13704749941825867,0.003640596754848957,17.906232833862305,16,7,0,0,0,1
GOODS-S,309170,53.221638,-27.799686,6.630000114440918,6.630000114440918,6.6295318603515625,-9999.0,1.0,3.476650971305915e-19,2.7073086330755466e-42,0.0,198.561279296875,14,6,0,0,0,1
GOODS-S,309174,53.106106,-27.799704,6.710000038146973,6.710000038146973,6.712741374969482,-9999.0,0.8819141983985901,0.13968783617019653,0.08333272486925125,0.013640233315527439,6.389443874359131,16,7,0,0,0,1
GOODS-S,309187,53.222668,-27.799585,6.630000114440918,6.630000114440918,6.629430770874023,-9999.0,0.9955062866210938,0.024017276242375374,0.000270706630544737,2.310468261157439e-08,5.818553447723389,14,6,0,0,0,0
GOODS-S,309197,53.22143,-27.79957,6.150000095367432,6.150000095367432,6.147467136383057,-9999.0,0.8114835619926453,1.709002939165316e-09,9.904679298955443e-10,1.104802881124467e-11,12.005644798278809,14,6,0,0,0,1
GOODS-S,309205,53.142975,-27.799538,13.529999732971191,13.529999732971191,12.461153030395508,-9999.0,0.9661082029342651,0.9653814435005188,0.9641709327697754,0.961779773235321,7.305145740509033,16,7,0,0,0,1
GOODS-S,309213,53.22278,-27.799482,6.519999980926514,6.519999980926514,6.517694473266602,-9999.0,0.9999494552612305,2.6523238716436026e-08,5.6605018450284206e-09,6.555496701032837e-10,5.311172008514404,14,6,0,0,0,0
GOODS-S,309242,53.211735,-27.799345,6.28000020980835,6.28000020980835,6.2844767570495605,-9999.0,0.8285186290740967,0.13120456039905548,0.10605166107416153,0.0831020176410675,4.838535785675049,14,6,0,0,0,0
GOODS-S,309260,53.21892,-27.799232,7.289999961853027,7.289999961853027,7.292640686035156,-9999.0,0.9949923157691956,0.9879013895988464,0.5577352643013,0.47309792041778564,11.673460006713867,14,6,0,0,0,0
GOODS-S,309291,53.211685,-27.799084,6.210000038146973,6.210000038146973,6.210385799407959,-9999.0,0.9786865711212158,6.350221042339399e-07,6.702605048758414e-08,3.6400449321405404e-10,5.375025272369385,14,6,0,0,0,0
GOODS-S,309294,53.08899,-27.799084,10.75,10.75,10.744979858398438,-9999.0,0.9758613109588623,0.9748633503913879,0.9744036197662354,0.877836287021637,22.620466232299805,16,7,0,0,0,1
GOODS-S,309345,53.15195,-27.798784,7.260000228881836,7.260000228881836,7.260475158691406,-9999.0,0.9831597208976746,0.8028907179832458,0.13503263890743256,0.01870499551296234,16.551795959472656,19,10,0,0,0,1
GOODS-S,309353,53.11068,-27.798773,9.430000305175781,9.430000305175781,9.432601928710938,-9999.0,0.8684448003768921,0.8634416460990906,0.8575965762138367,0.785938024520874,11.338028907775879,16,7,0,0,0,1
GOODS-S,309364,53.219635,-27.79865,11.269999504089355,11.269999504089355,11.266959190368652,-9999.0,0.8294044137001038,0.8212326765060425,0.8140695691108704,0.7057725787162781,11.430283546447754,14,6,0,0,0,1
GOODS-S,309397,53.10673,-27.798565,6.240000247955322,6.240000247955322,6.235031604766846,-9999.0,0.9692708849906921,0.0003829211927950382,0.0002669441746547818,8.355835348083929e-07,7.338796615600586,16,7,0,0,0,1
GOODS-S,309405,53.16164,-27.798534,8.819999694824219,8.819999694824219,8.81400203704834,-9999.0,0.8560370802879333,0.8318048715591431,0.7198429703712463,0.43155160546302795,9.902009963989258,19,10,0,0,0,1
GOODS-S,309415,53.192856,-27.798456,7.230000019073486,7.230000019073486,7.2242913246154785,-9999.0,0.8004462122917175,0.5575469136238098,0.17656086385250092,0.03821529075503349,11.581854820251465,16,7,0,0,0,1
GOODS-S,309416,53.191055,-27.79844,7.519999980926514,7.519999980926514,7.515895366668701,-9999.0,0.8998416662216187,0.6691491603851318,0.22783015668392181,0.06637603044509888,4.189268112182617,16,7,0,0,0,0
GOODS-S,309419,53.190548,-27.7984,6.980000019073486,6.980000019073486,6.977828502655029,-9999.0,0.8251946568489075,0.6135855317115784,0.11831947416067123,0.060087066143751144,8.64339828491211,16,7,0,0,0,1
GOODS-S,309421,53.089317,-27.798399,8.029999732971191,8.029999732971191,8.023843765258789,-9999.0,0.9859508872032166,0.8551251888275146,0.4755280017852783,0.04137090593576431,9.971057891845703,16,7,0,0,0,1
GOODS-S,309487,53.22527,-27.798029,7.460000038146973,7.460000038146973,7.463865280151367,-9999.0,0.8692776560783386,0.7510225176811218,0.3490113914012909,0.11185061186552048,3.8101162910461426,13,6,0,0,0,0
GOODS-S,309519,53.07237,-27.797897,7.369999885559082,7.369999885559082,7.371596813201904,-9999.0,0.9492735862731934,0.8936251401901245,0.8295893669128418,0.7695668339729309,8.803912162780762,12,3,0,0,0,1
GOODS-S,309531,53.21175,-27.797804,7.400000095367432,7.400000095367432,7.40174674987793,-9999.0,0.992231011390686,0.9339889883995056,0.004463784396648407,0.004231862258166075,7.938695430755615,14,6,0,0,0,0
GOODS-S,309586,53.2234,-27.797493,7.039999961853027,7.039999961853027,7.041471481323242,-9999.0,0.9564585089683533,0.7734543085098267,0.008958536200225353,0.0001439224142814055,8.96863842010498,14,6,0,0,0,1
GOODS-S,309622,53.0935,-27.797388,8.949999809265137,8.949999809265137,8.949329376220703,-9999.0,0.9408832788467407,0.9403267502784729,0.9382741451263428,0.653031051158905,7.954219818115234,16,7,0,0,0,1
