field,ID,z_peak,Prob_gt_6,bin_z,F444W_flux,F444W_SNR,FWHM_arcsec,A_arcsec,B_arcsec,compact_proxy,rank_in_bin,metric,bin_size,hunt_type
GOODS-S,441205,12.069999694824219,1.0,10-15,243.0342,45.51,0.1668,0.0729,0.0687,3.9413,20,highest_compact_proxy,285,compactness
GOODS-N,3292092,14.119999885559082,0.9999998807907104,10-15,36.8808,22.29,0.0651,0.0324,0.0219,3.9396,21,highest_compact_proxy,285,compactness
GOODS-N,1206691,12.699999809265137,0.9193974733352661,10-15,636.3360,60.45,0.2808,0.1332,0.1033,3.9069,22,highest_compact_proxy,285,compactness
GOODS-N,1208716,12.619999885559082,0.9999454021453857,10-15,1498.8212,180.76,0.4315,0.2342,0.1110,3.9058,23,highest_compact_proxy,285,compactness
GOODS-S,464514,11.489999771118164,1.0000001192092896,10-15,223.0884,50.03,0.1686,0.0723,0.0709,3.8948,24,highest_compact_proxy,285,compactness
GOODS-S,429397,12.15999984741211,0.9999841451644897,10-15,1323.6220,150.08,0.4175,0.2009,0.1501,3.8805,25,highest_compact_proxy,285,compactness
GOODS-S,153326,11.550000190734863,1.0,10-15,224.4893,93.99,0.1736,0.0748,0.0726,3.8721,26,highest_compact_proxy,285,compactness
GOODS-N,1075168,12.519999504089355,1.0000001192092896,10-15,734.0414,194.77,0.3227,0.1479,0.1253,3.8481,27,highest_compact_proxy,285,compactness
GOODS-N,1003262,11.869999885559082,0.9999998807907104,10-15,184.7899,38.47,0.1761,0.0748,0.0747,3.7752,28,highest_compact_proxy,285,compactness
GOODS-N,1197218,13.289999961853027,0.9971722960472107,10-15,29.4464,7.50,0.0705,0.0355,0.0231,3.7727,29,highest_compact_proxy,285,compactness
GOODS-N,1204188,12.680000305175781,0.9999510049819946,10-15,1344.2142,102.28,0.4869,0.2713,0.1092,3.7536,30,highest_compact_proxy,285,compactness
