field,ID,z_peak,Prob_gt_6,bin_z,F444W_flux,F444W_SNR,FWHM_arcsec,A_arcsec,B_arcsec,compact_proxy,rank_in_bin,metric,bin_size,hunt_type
GOODS-S,421482,7.28000020980835,1.0000001192092896,6-8,16448.4106,1035.06,0.3413,0.1546,0.1346,5.1499,10,highest_compact_proxy,4157,compactness
GOODS-S,408815,7.710000038146973,0.9999998807907104,6-8,14254.7158,3382.16,0.3198,0.1403,0.1312,5.1442,11,highest_compact_proxy,4157,compactness
GOODS-N,1203603,7.400000095367432,0.9999999403953552,6-8,17696.4992,3116.49,0.3594,0.1588,0.1461,5.1367,12,highest_compact_proxy,4157,compactness
GOODS-N,1071130,7.200000286102295,0.9999999403953552,6-8,12863.0960,3210.99,0.3122,0.1367,0.1283,5.1205,13,highest_compact_proxy,4157,compactness
GOODS-N,1095501,7.579999923706055,1.0,6-8,9699.1995,1487.67,0.2712,0.1182,0.1120,5.1202,14,highest_compact_proxy,4157,compactness
GOODS-S,407539,6.730000019073486,1.0000001192092896,6-8,9518.4080,1966.56,0.2704,0.1168,0.1128,5.1146,15,highest_compact_proxy,4157,compactness
GOODS-N,1081013,7.670000076293945,0.9999999403953552,6-8,11838.8406,1987.78,0.3049,0.1332,0.1257,5.1050,16,highest_compact_proxy,4157,compactness
GOODS-N,1034514,7.039999961853027,1.0,6-8,8196.4930,1022.82,0.2541,0.1100,0.1058,5.1036,17,highest_compact_proxy,4157,compactness
GOODS-N,1124919,7.579999923706055,1.0000001192092896,6-8,8481.4816,2035.65,0.2588,0.1124,0.1074,5.1025,18,highest_compact_proxy,4157,compactness
GOODS-N,1093110,7.010000228881836,1.0000001192092896,6-8,12029.0331,933.54,0.3083,0.1329,0.1289,5.1023,19,highest_compact_proxy,4157,compactness
GOODS-S,415874,6.990000247955322,1.0,6-8,12298.7021,1788.49,0.3127,0.1379,0.1274,5.0996,20,highest_compact_proxy,4157,compactness
GOODS-N,1124718,7.570000171661377,1.0000001192092896,6-8,11191.9484,2269.97,0.2991,0.1299,0.1241,5.0973,21,highest_compact_proxy,4157,compactness
GOODS-N,1073055,7.809999942779541,1.0,6-8,15956.9472,2513.79,0.3593,0.1596,0.1452,5.0920,22,highest_compact_proxy,4157,compactness
GOODS-S,416498,7.659999847412109,1.0,6-8,29254.6024,2173.45,0.4869,0.2173,0.1957,5.0913,23,highest_compact_proxy,4157,compactness
GOODS-N,1206090,6.670000076293945,1.0,6-8,6836.5779,1859.82,0.2360,0.1007,0.0997,5.0890,24,highest_compact_proxy,4157,compactness
GOODS-N,1072135,7.269999980926514,1.0,6-8,12051.9578,3207.33,0.3141,0.1372,0.1295,5.0869,25,highest_compact_proxy,4157,compactness
GOODS-S,189201,7.720000267028809,0.9999998807907104,6-8,19143.4189,3072.26,0.3998,0.1724,0.1672,5.0783,26,highest_compact_proxy,4157,compactness
GOODS-N,1095517,7.670000076293945,1.0,6-8,9169.9312,1510.39,0.2768,0.1204,0.1146,5.0780,27,highest_compact_proxy,4157,compactness
GOODS-N,1028015,7.710000038146973,1.0,6-8,7145.0705,964.54,0.2485,0.1076,0.1034,5.0634,28,highest_compact_proxy,4157,compactness
GOODS-S,412016,6.940000057220459,0.9999998807907104,6-8,15525.7758,3030.00,0.3676,0.1624,0.1496,5.0603,29,highest_compact_proxy,4157,compactness
GOODS-N,1080833,7.599999904632568,1.0,6-8,7353.3924,1736.54,0.2586,0.1111,0.1085,5.0412,30,highest_compact_proxy,4157,compactness
GOODS-N,3292079,9.890000343322754,0.9996094703674316,8-10,7.5820,10.52,0.0544,0.0250,0.0211,3.4086,1,smallest_fwhm,1093,compactness
GOODS-S,557212,8.029999732971191,0.996208131313324,8-10,6.5791,3.06,0.1142,0.0592,0.0346,2.7028,2,smallest_fwhm,1093,compactness
GOODS-S,257580,8.800000190734863,0.9951448440551758,8-10,7.9917,3.82,0.1253,0.0633,0.0407,2.7067,3,smallest_fwhm,1093,compactness
GOODS-S,313205,8.480000495910645,0.9976729154586792,8-10,2.5543,3.26,0.1279,0.0612,0.0463,2.1935,4,smallest_fwhm,1093,compactness
GOODS-S,349285,8.600000381469727,0.9497357606887817,8-10,5.3329,3.61,0.1282,0.0605,0.0477,2.5112,5,smallest_fwhm,1093,compactness
GOODS-N,1091321,9.25,0.9997756481170654,8-10,42.6842,7.10,0.1284,0.0587,0.0500,3.4131,6,smallest_fwhm,1093,compactness
GOODS-S,523667,8.579999923706055,0.9935062527656555,8-10,3.7119,5.10,0.1300,0.0582,0.0520,2.3417,7,smallest_fwhm,1093,compactness
GOODS-S,529891,9.90999984741211,0.9979758858680725,8-10,2.1343,4.43,0.1300,0.0587,0.0515,2.1014,8,smallest_fwhm,1093,compactness
GOODS-N,1102765,8.020000457763672,0.9999573230743408,8-10,9.6690,6.99,0.1302,0.0562,0.0544,2.7562,9,smallest_fwhm,1093,compactness
GOODS-S,20897,8.880000114440918,0.9999558925628662,8-10,4.1047,4.89,0.1312,0.0609,0.0500,2.3774,10,smallest_fwhm,1093,compactness
GOODS-S,437089,8.739999771118164,0.9958158135414124,8-10,5.2948,5.88,0.1322,0.0575,0.0547,2.4814,11,smallest_fwhm,1093,compactness
GOODS-N,1251776,8.779999732971191,0.9799900650978088,8-10,25.6654,5.90,0.1355,0.0603,0.0546,3.1455,12,smallest_fwhm,1093,compactness
GOODS-S,501882,8.020000457763672,1.0000001192092896,8-10,10.3118,10.67,0.1366,0.0616,0.0542,2.7424,13,smallest_fwhm,1093,compactness
GOODS-S,422465,8.350000381469727,0.9883885979652405,8-10,10.2220,5.55,0.1372,0.0603,0.0562,2.7348,14,smallest_fwhm,1093,compactness
GOODS-S,520930,9.380000114440918,0.9999991655349731,8-10,4.4685,5.37,0.1373,0.0591,0.0575,2.3748,15,smallest_fwhm,1093,compactness
GOODS-N,1150086,9.5600004196167,0.999996542930603,8-10,10.3874,3.63,0.1374,0.0642,0.0518,2.7405,16,smallest_fwhm,1093,compactness
GOODS-S,2425,8.010000228881836,1.0,8-10,8.8400,5.33,0.1383,0.0614,0.0560,2.6648,17,smallest_fwhm,1093,compactness
GOODS-S,524020,9.489999771118164,0.9999966621398926,8-10,6.1821,4.12,0.1387,0.0595,0.0583,2.5070,18,smallest_fwhm,1093,compactness
GOODS-N,1023482,8.039999961853027,0.9997566342353821,8-10,20.1125,4.63,0.1387,0.0609,0.0569,3.0193,19,smallest_fwhm,1093,compactness
GOODS-S,145133,8.319999694824219,0.9999999403953552,8-10,6.4766,7.44,0.1398,0.0610,0.0577,2.5203,20,smallest_fwhm,1093,compactness
GOODS-N,1023738,8.6899995803833,1.0,8-10,11.7536,3.54,0.1398,0.0612,0.0575,2.7792,21,smallest_fwhm,1093,compactness
GOODS-N,1010268,9.4399995803833,1.0,8-10,17.0148,12.09,0.1402,0.0622,0.0567,2.9373,22,smallest_fwhm,1093,compactness
GOODS-N,1066950,9.529999732971191,0.9999979734420776,8-10,6.9665,4.15,0.1406,0.0605,0.0589,2.5470,23,smallest_fwhm,1093,compactness
GOODS-S,242502,8.199999809265137,0.9999887347221375,8-10,34.4975,15.60,0.1409,0.0616,0.0580,3.2400,24,smallest_fwhm,1093,compactness
GOODS-N,1140338,9.949999809265137,0.9999189972877502,8-10,17.0635,11.29,0.1415,0.0629,0.0571,2.9306,25,smallest_fwhm,1093,compactness
GOODS-S,95341,9.079999923706055,0.9999604821205139,8-10,14.7946,7.15,0.1422,0.0615,0.0592,2.8643,26,smallest_fwhm,1093,compactness
GOODS-S,127788,9.079999923706055,0.9963750839233398,8-10,6.1429,5.64,0.1424,0.0626,0.0583,2.4814,27,smallest_fwhm,1093,compactness
GOODS-S,21406,9.569999694824219,1.0,8-10,6.8414,4.12,0.1425,0.0662,0.0543,2.5275,28,smallest_fwhm,1093,compactness
GOODS-S,67939,8.869999885559082,0.9990460872650146,8-10,19.7188,7.76,0.1426,0.0640,0.0569,2.9866,29,smallest_fwhm,1093,compactness
GOODS-S,90684,9.550000190734863,0.9641379117965698,8-10,8.6330,4.62,0.1427,0.0614,0.0597,2.6273,30,smallest_fwhm,1093,compactness
